measure_name,WHO_region,ISO3,vaccine_averted_val
Incidence,AFRO,AGO,4981.52513009423
Incidence,AFRO,BDI,3725.51648148217
Incidence,AFRO,BEN,741.83018766218
Incidence,AFRO,BFA,2751.41701530514
Incidence,AFRO,BWA,1174.02017385714
Incidence,AFRO,CAF,890.053252476692
Incidence,AFRO,CIV,3233.55944454823
Incidence,AFRO,CMR,2291.05750450685
Incidence,AFRO,COD,14958.4694934648
Incidence,AFRO,COG,608.510972219604
Incidence,AFRO,COM,518.841650033217
Incidence,AFRO,CPV,53.9403182467717
Incidence,AFRO,DZA,452.330808135889
Incidence,AFRO,ERI,2760.87163540453
Incidence,AFRO,ETH,19768.5632664939
Incidence,AFRO,GAB,340.248152870223
Incidence,AFRO,GHA,3936.47902736437
Incidence,AFRO,GIN,1101.40618473884
Incidence,AFRO,GMB,260.000901051191
Incidence,AFRO,GNB,115.366406922168
Incidence,AFRO,GNQ,131.007646670399
Incidence,AFRO,KEN,5161.23771280199
Incidence,AFRO,LBR,352.78353412919
Incidence,AFRO,LSO,1209.86873290614
Incidence,AFRO,MDG,5563.8063753551
Incidence,AFRO,MLI,1962.41986818649
Incidence,AFRO,MOZ,10331.4161994336
Incidence,AFRO,MRT,188.635054898914
Incidence,AFRO,MUS,2.60353315442925
Incidence,AFRO,MWI,2283.38718811533
Incidence,AFRO,NAM,1315.94925372349
Incidence,AFRO,NER,1691.38683527806
Incidence,AFRO,NGA,34996.9613662175
Incidence,AFRO,RWA,1934.39823930738
Incidence,AFRO,SEN,1233.86178143936
Incidence,AFRO,SLE,982.743563585306
Incidence,AFRO,SSD,2092.15518253476
Incidence,AFRO,STP,13.6200670696993
Incidence,AFRO,SWZ,1196.61426492716
Incidence,AFRO,SYC,0.246695422570724
Incidence,AFRO,TCD,1898.81143941859
Incidence,AFRO,TGO,789.05566122384
Incidence,AFRO,TZA,8111.11695777891
Incidence,AFRO,UGA,7109.35674275682
Incidence,AFRO,ZAF,16498.4050774371
Incidence,AFRO,ZMB,4327.57759516059
Incidence,AFRO,ZWE,5752.92726784605
Incidence,AMRO,ARG,310.448075621059
Incidence,AMRO,ATG,0.408948127539826
Incidence,AMRO,BHS,2.38672307503893
Incidence,AMRO,BLZ,1.51087699869393
Incidence,AMRO,BOL,1497.18138469241
Incidence,AMRO,BRA,6556.05667659906
Incidence,AMRO,BRB,0.242653192103711
Incidence,AMRO,CAN,90.7098968809326
Incidence,AMRO,CHL,88.3213424277525
Incidence,AMRO,COL,1521.82609046989
Incidence,AMRO,CRI,27.6595335746417
Incidence,AMRO,CUB,54.9491648494527
Incidence,AMRO,DMA,0.418470445276698
Incidence,AMRO,DOM,78.4622663646848
Incidence,AMRO,ECU,1017.52687003153
Incidence,AMRO,GRD,0.29802133013547
Incidence,AMRO,GTM,215.202738254946
Incidence,AMRO,GUY,7.9711238373953
Incidence,AMRO,HND,210.927416708919
Incidence,AMRO,HTI,107.070371523717
Incidence,AMRO,JAM,5.5836385021124
Incidence,AMRO,KNA,0.230493927322369
Incidence,AMRO,LCA,0.371743543940125
Incidence,AMRO,MEX,2065.91221524269
Incidence,AMRO,NIC,83.1747780373651
Incidence,AMRO,PAN,107.052525626616
Incidence,AMRO,PER,6402.77916845895
Incidence,AMRO,PRY,228.049256569385
Incidence,AMRO,SLV,49.1375072241733
Incidence,AMRO,SUR,0.816005253950031
Incidence,AMRO,TTO,2.87728216704706
Incidence,AMRO,URY,7.52737746083059
Incidence,AMRO,USA,455.490546084878
Incidence,AMRO,VCT,0.373434119161558
Incidence,AMRO,VEN,433.653471433472
Incidence,EMRO,AFG,3094.27386143477
Incidence,EMRO,ARE,128.348585227015
Incidence,EMRO,BHR,20.8155187632252
Incidence,EMRO,DJI,457.502236880727
Incidence,EMRO,EGY,1704.15482136741
Incidence,EMRO,IRN,600.133645934096
Incidence,EMRO,IRQ,1109.38396884349
Incidence,EMRO,JOR,60.192331657538
Incidence,EMRO,KWT,41.211806476066
Incidence,EMRO,LBN,40.4603973077913
Incidence,EMRO,LBY,64.2105873418106
Incidence,EMRO,MAR,1807.36561465136
Incidence,EMRO,OMN,33.536632597958
Incidence,EMRO,PAK,80687.5988214888
Incidence,EMRO,QAT,20.881682261195
Incidence,EMRO,SAU,1265.21956872697
Incidence,EMRO,SDN,661.421004018127
Incidence,EMRO,SOM,11989.9103642651
Incidence,EMRO,SYR,109.168710120261
Incidence,EMRO,TUN,74.1844470241362
Incidence,EMRO,YEM,542.687385119735
Incidence,EURO,ALB,3.10456667287223
Incidence,EURO,AND,0.029316010115184
Incidence,EURO,ARM,439.73704766682
Incidence,EURO,AUT,62.4899621804436
Incidence,EURO,AZE,3835.66069712324
Incidence,EURO,BEL,56.0412931971634
Incidence,EURO,BGR,114.846478081882
Incidence,EURO,BIH,11.4697701144058
Incidence,EURO,BLR,3756.36192491119
Incidence,EURO,CHE,76.1158196250685
Incidence,EURO,CYP,2.94161032020905
Incidence,EURO,CZE,45.9271857822935
Incidence,EURO,DEU,721.822987484538
Incidence,EURO,DNK,18.3614889220601
Incidence,EURO,ESP,157.683411930288
Incidence,EURO,EST,139.941141666528
Incidence,EURO,FIN,37.8372768496333
Incidence,EURO,FRA,352.833510543711
Incidence,EURO,GBR,271.341338896439
Incidence,EURO,GEO,1502.47420863729
Incidence,EURO,GRC,64.2393357584771
Incidence,EURO,HRV,6.9292992162759
Incidence,EURO,HUN,38.7620727155678
Incidence,EURO,IRL,14.3416451411138
Incidence,EURO,ISL,0.660577071677433
Incidence,EURO,ISR,59.2596814280859
Incidence,EURO,ITA,477.644151581159
Incidence,EURO,KAZ,8057.7390494346
Incidence,EURO,KGZ,4935.71383576651
Incidence,EURO,LTU,758.574925457256
Incidence,EURO,LUX,3.4311981742565
Incidence,EURO,LVA,186.475937178991
Incidence,EURO,MCO,0.239730303544329
Incidence,EURO,MDA,3440.66108703469
Incidence,EURO,MKD,14.3613074416861
Incidence,EURO,MLT,0.937265217148614
Incidence,EURO,MNE,1.5666554129306
Incidence,EURO,NLD,58.7079702289876
Incidence,EURO,NOR,32.0415713465303
Incidence,EURO,POL,210.265483871
Incidence,EURO,PRT,82.602915570404
Incidence,EURO,ROU,1157.39760378968
Incidence,EURO,RUS,111887.243961996
Incidence,EURO,SMR,0.0776490058931523
Incidence,EURO,SRB,33.1912979391205
Incidence,EURO,SVK,8.63408855037025
Incidence,EURO,SVN,0.672324449410794
Incidence,EURO,SWE,107.781783661287
Incidence,EURO,TJK,2355.43404825197
Incidence,EURO,TKM,1378.59310918004
Incidence,EURO,TUR,1870.20452140633
Incidence,EURO,UKR,42646.5939913918
Incidence,EURO,UZB,14055.5153021808
Incidence,SEARO,BGD,24239.5787863754
Incidence,SEARO,BTN,90.9604048120982
Incidence,SEARO,IDN,4379.2783553528
Incidence,SEARO,IND,669841.756674674
Incidence,SEARO,LKA,115.890330171986
Incidence,SEARO,MDV,2.10554527969062
Incidence,SEARO,MMR,19256.6145874312
Incidence,SEARO,NPL,6712.49419460491
Incidence,SEARO,PRK,4835.24284470122
Incidence,SEARO,THA,9007.19107306836
Incidence,SEARO,TLS,21.3322593930307
Incidence,WPRO,AUS,160.681957954222
Incidence,WPRO,BRN,2.17201317947492
Incidence,WPRO,CHN,105538.978474746
Incidence,WPRO,COK,0.0360859753412089
Incidence,WPRO,FJI,1.72438268877736
Incidence,WPRO,FSM,0.604644910758888
Incidence,WPRO,JPN,717.20184745488
Incidence,WPRO,KHM,1111.25790969721
Incidence,WPRO,KIR,2.04742475908111
Incidence,WPRO,KOR,1866.67186161843
Incidence,WPRO,LAO,113.868565516058
Incidence,WPRO,MHL,1.9341341151132
Incidence,WPRO,MNG,1081.11506706661
Incidence,WPRO,MYS,844.552169408378
Incidence,WPRO,NIU,0.00646150857477798
Incidence,WPRO,NRU,0.0508382177914348
Incidence,WPRO,NZL,30.1533806931735
Incidence,WPRO,PHL,29589.7885884757
Incidence,WPRO,PLW,0.0829767224497141
Incidence,WPRO,PNG,1239.0481541498
Incidence,WPRO,SGP,90.7261563332937
Incidence,WPRO,SLB,2.30937313798396
Incidence,WPRO,TON,0.315050957080771
Incidence,WPRO,TUV,0.063813877582697
Incidence,WPRO,VNM,21453.5078872545
Incidence,WPRO,VUT,0.987074829317205
Incidence,WPRO,WSM,0.222391688414146
