WHO_region,Attributable to Resistance,Associted to Resistance
Africa,17236.6469386191,80724.650049552
Americas,4847.84203249941,18780.1989273324
Eastern Mediterranean,7352.69735082765,30150.2745997024
Europe,4118.35360907127,15420.1801176698
South-East Asia,18848.684462111,71778.4410246718
Western Pacific,7357.64976939001,28740.0571526527
