WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,Efficacy,Coverage,Duration,DiseasePresentation,Vaccination,Selection
Africa,BSI,50 to 54,Acinetobacter baumannii,372.333778639938,201.211014447306,602.105667381372,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,55 to 59,Acinetobacter baumannii,462.135353523472,255.060480782976,748.325634314142,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,60 to 64,Acinetobacter baumannii,562.661428124911,303.443665050526,938.791071175553,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,65 to 69,Acinetobacter baumannii,652.632183848484,367.54986123956,1044.37290355461,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,70 to 74,Acinetobacter baumannii,888.093762491902,427.94307821771,1612.14084490712,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,75 to 79,Acinetobacter baumannii,924.64901127814,439.179945751998,1659.96172816202,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,80 to 84,Acinetobacter baumannii,810.600366284395,402.220892450034,1396.63203749853,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,85 to 89,Acinetobacter baumannii,587.696694656319,288.470090037666,1048.03456102647,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,90 to 94,Acinetobacter baumannii,249.178079373171,112.522756704151,466.446923045279,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,95 plus,Acinetobacter baumannii,78.7379829053699,34.7856917524186,150.767646092679,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,EN,Acinetobacter baumannii,3.50404301209334,1.84148383269479,6.36274186615848,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,LN,Acinetobacter baumannii,2.51634782746806,1.08735696285998,5.33053758288403,0.7,0.7,5,BSI,60 or above,Yes
Africa,Cardiac infections,PN,Acinetobacter baumannii,12.721149041977,7.23474951197636,20.7964665054055,0.7,0.7,5,BSI,60 or above,Yes
