Counts,2.5%.x,50%.x,97.5%.x,2.5%.y,50%.y,97.5%.y
Global,329397.259874412,341252.925048935,358699.704447079,,,
Africa,117175.399158272,127741.535149528,141138.498413436,,,
Americas,20896.8169797074,22554.9818032937,24579.4420109404,,,
Eastern Mediterranean,40938.7165387007,45216.9013504999,49737.8912812035,,,
Europe,15617.2741820468,17362.2686366945,19427.9277811556,,,
South-East Asia,84799.0226596867,92229.0792662646,103258.48498018,,,
Western Pacific,32029.7018361218,35085.5943827577,39243.3298793682,,,
