WHO_region,vaccinated_pop,total_pop,vaccine_coverage
AFRO,24777098.37,33836932,0.732250145196379
AMRO,12088169.02,14440562,0.837098238974356
EMRO,9313570.01,11859313,0.785338072281253
EURO,8738342,9727711,0.898293750708671
SEARO,7861048.52,32843285,0.23935025135275
WPRO,3233363.72,4525644,0.714453836846204
