WHO_region,vaccinated_pop,total_pop,vaccine_coverage
AFRO,25988576.96,35379622,0.734563443329044
AMRO,12186757.51,14616976,0.833739995878764
EMRO,14725050.71,17246497,0.853799511286263
EURO,8608170.21,9109209,0.94499645468668
SEARO,30536754.62,33581701,0.90932721424683
WPRO,5774732.18,6682505,0.864156806467036
