WHO_region,vaccinated_pop,total_pop,vaccine_coverage
AFRO,25507880.13,34885206,0.73119476863631
AMRO,12732050.1,14638749,0.869749874118342
EMRO,14509693.59,17297386,0.838837359009043
EURO,8542850.23,9160327,0.932592278638088
SEARO,30088670.13,33361012,0.901911192921846
WPRO,5713997.99,6801647,0.840090347235015
